,x_a,x_b,y_a,y_b,Gmix,Hull_Gmix
279,0.45834166666666665,0.5416583333333334,0.16673333333333332,0.8332666666666666,1.3483617330434612,-6.4795700588761145
280,0.45834166666666665,0.5416583333333334,0.20839166666666664,0.7916083333333332,0.9852019388926969,-7.014398782804864
281,0.45834166666666665,0.5416583333333334,0.25005,0.74995,0.7457878414703707,-7.4254818100051905
282,0.45834166666666665,0.5416583333333334,0.2917083333333333,0.7082916666666667,0.6023427964404817,-7.740595784813058
283,0.45834166666666665,0.5416583333333334,0.33336666666666664,0.6666333333333333,0.5361912455890909,-7.978416265442446
284,0.45834166666666665,0.5416583333333334,0.375025,0.624975,0.534476524662157,-8.151799916147361
285,0.45834166666666665,0.5416583333333334,0.4166833333333333,0.5833166666666666,0.5883993729829484,-8.26954599760456
286,0.45834166666666665,0.5416583333333334,0.45834166666666665,0.5416583333333334,0.6922195231313815,-8.33739477723411
287,0.45834166666666665,0.5416583333333334,0.5,0.5,0.8426875519725421,-8.358595678170937
288,0.45834166666666665,0.5416583333333334,0.5416583333333334,0.45834166666666665,1.038750715100953,-8.334201444820515
289,0.45834166666666665,0.5416583333333334,0.5833166666666666,0.4166833333333333,1.2814617569220843,-8.263159332777377
290,0.45834166666666665,0.5416583333333334,0.624975,0.375025,1.574070100570868,-8.142219918906576
291,0.45834166666666665,0.5416583333333334,0.6666333333333333,0.33336666666666664,1.9223160134673556,-7.965642935788072
292,0.45834166666666665,0.5416583333333334,0.7082916666666667,0.2917083333333333,2.334998756288318,-7.724629122745096
293,0.45834166666666665,0.5416583333333334,0.74995,0.25005,2.824974993287775,-7.406321815523626
294,0.45834166666666665,0.5416583333333334,0.7916083333333332,0.20839166666666664,3.410920282679683,-6.9920454559097145
295,0.45834166666666665,0.5416583333333334,0.8332666666666666,0.16673333333333332,3.99373789290118,-6.454023399567364
296,0.45834166666666665,0.5416583333333334,0.874925,0.125075,4.493141997564351,-5.748616579170618
297,0.45834166666666665,0.5416583333333334,0.9165833333333333,0.08341666666666667,4.75199779519755,-4.799885907123477
298,0.45834166666666665,0.5416583333333334,0.9582416666666667,0.041758333333333335,5.235982325995543,-3.445502005480355
299,0.45834166666666665,0.5416583333333334,0.9999,0.0001,6.885352791144905,-0.9257321694858508
300,0.5,0.5,0.0001,0.9999,7.183850369297998,-0.9451111804017689
301,0.5,0.5,0.041758333333333335,0.9582416666666667,4.85467282016009,-3.4631245522954726
302,0.5,0.5,0.08341666666666667,0.9165833333333333,3.6908812053735467,-4.815751989837789
303,0.5,0.5,0.125075,0.874925,2.932742820183009,-5.762726197784126
304,0.5,0.5,0.16673333333333332,0.8332666666666666,2.4179282866428444,-6.466376554080076
305,0.5,0.5,0.20839166666666664,0.7916083333333332,2.0704985171570804,-7.002642146321614
306,0.5,0.5,0.25005,0.74995,1.8468144443997545,-7.41516204183473
307,0.5,0.5,0.2917083333333333,0.7082916666666667,1.71909942403488,-7.731712884955385
308,0.5,0.5,0.33336666666666664,0.6666333333333333,1.668677897848493,-7.970970233897564
309,0.5,0.5,0.375025,0.624975,1.6826932015865772,-8.145790752915268
310,0.5,0.5,0.4166833333333333,0.5833166666666666,1.752346074572376,-8.264973702685255
311,0.5,0.5,0.45834166666666665,0.5416583333333334,1.8718962493858164,-8.334259350627596
312,0.5,0.5,0.5,0.5,2.0380943028919987,-8.35689711987721
313,0.5,0.5,0.5416583333333334,0.45834166666666665,2.2498874906854063,-8.333939754839577
314,0.5,0.5,0.5833166666666666,0.4166833333333333,2.207832152577577,-8.26433451110923
315,0.5,0.5,0.624975,0.375025,2.138498875379799,-8.144831965551218
316,0.5,0.5,0.6666333333333333,0.33336666666666664,2.1248031674297323,-7.969691850745502
317,0.5,0.5,0.7082916666666667,0.2917083333333333,2.175544289404133,-7.730114906015316
318,0.5,0.5,0.74995,0.25005,2.303578905557014,-7.413244467106634
319,0.5,0.5,0.7916083333333332,0.20839166666666664,2.527582574102361,-7.000404975805512
320,0.5,0.5,0.8332666666666666,0.16673333333333332,2.8753319393761423,-6.463819787775951
321,0.5,0.5,0.874925,0.125075,3.3904660687043133,-5.759849835691994
322,0.5,0.5,0.9165833333333333,0.08341666666666667,4.1489240496828685,-4.812556031957642
323,0.5,0.5,0.9582416666666667,0.041758333333333335,4.871605079485505,-3.459608998627309
324,0.5,0.5,0.9999,0.0001,6.536705569299874,-0.9412760309455932
325,0.5416583333333334,0.45834166666666665,0.0001,0.9999,7.931593199206356,-0.9261702023545748
326,0.5416583333333334,0.45834166666666665,0.041758333333333335,0.9582416666666667,5.7060315793102525,-3.4456204425610677
327,0.5416583333333334,0.45834166666666665,0.08341666666666667,0.9165833333333333,4.645855893765521,-4.799684748416174
328,0.5416583333333334,0.45834166666666665,0.125075,0.874925,3.991333437816781,-5.7480958246753
329,0.5416583333333334,0.45834166666666665,0.16673333333333332,0.8332666666666666,3.498381639807235,-6.453183049284039
